name,wals_code,genus,family
Adyghe,ady,Northwest Caucasian,Northwest Caucasian
Albanian,alb,Albanian,Indo-European
Ancient Greek,gcy,Greek,Indo-European
Arabic,abe,Semitic,Afro-Asiatic
Armenian,arm,Armenian,Indo-European
Asturian,ast,Romance,Indo-European
Azerbaijani,aze,Turkic,Altaic
Bashkir,bsk,Turkic,Altaic
Basque,bsq,Basque,Basque
Belarusian,,,
Bengali,bec,Indic,Indo-European
Breton,bre,Celtic,Indo-European
Bulgarian,bul,Slavic,Indo-European
Catalan,ctl,Romance,Indo-European
Central Kurdish,krd,Iranian,Indo-European
Classical Armenian,,Armenian,Indo-European
Classical Syriac,,,
Cornish,,,
Crimean,cri,Turkic,Altaic
Czech,cze,Slavic,Indo-European
Danish,dsh,Germanic,Indo-European
Dutch,dut,Germanic,Indo-European
English,eng,Germanic,Indo-European
Estonian,,,
Faroese,,,
Finnish,,,
French,,,
Friulian,,,
Galician,,,
Georgian,,,
German,ger,Germanic,Indo-European
Gothic,,,
Greenlandic,,,
Haida,,,
Hebrew,,,
Hindi,,,
Hungarian,hun,Ugric,Uralic
Icelandic,,,
Ingrian,,,
Irish,,,
Italian,ita,Romance,Indo-European
Kabardian,,,
Kannada,,,
Karelian,,,
Kashubian,,,
Kazakh,kaz,Turkic,Altaic
Khakas,,,
Khaling,,,
Ladin,,,
Latin,,,
Latvian,,,
Lithuanian,lit,Baltic,Indo-European
Livonian,,,
Livvi,,,
Low German,,,
Lower Sorbian,,,
Ludian,,,
Macedonian,mcd,Slavic,Indo-European
Maltese,,,
Manx,,,
Mapudungun,map,Araucanian,Araucanian
Middle French,,,
Middle High German,,,
Middle Low German,,,
Modern Greek,,,
Murrinhpatha,,,
Navajo,,,
Neapolitan,,,
Norman,,,
North Frisian,,,
Northern Kurdish,,,
Northern Sami,,,
Norwegian BokmĂĄl,,,
Norwegian Nynorsk,,,
Occitan,,,
Old Church Slavonic,,,
Old English,,,
Old French,,,
Old Irish,,,
Old Saxon,,,
Pashto,,,
Persian,prs,Iranian,Indo-European
Polish,pol,Slavic,Indo-European
Portuguese,por,Romance,Indo-European
Quechua,,,
Romanian,rom,Romance,Indo-European
Russian,rus,Slavic,Indo-European
Sanskrit,,,
Scottish Gaelic,,,
Serbo Croatian,,,
Slovenian,,,
Spanish,spa,Romance,Indo-European
Swahili,,,
Swedish,swe,Germanic,Indo-European
Tajik,,,
Tatar,,,
Telugu,,,
Tibetan,,,
Turkish,tur,Turkic,Altaic
Turkmen,tkm,Turkic,Altaic
Ukrainian,ukr,Slavic,Indo-European
Urdu,urd,Indic,Indo-European
Uzbek,,,
Venetian,,,
Veps (Vepsian),,,
Votic,,,
Welsh,wec,Celtic,Indo-European
West Frisian,,,
Yiddish,,,
Zulu,zul,Bantoid,Niger-Congo
